Fruit,Red,Green,Blue
orange,0.5637305605469211,0.3805484912495706,0.16491997421907642
apple,0.5116623273039629,0.2581244931316356,0.13951258084241927
banana,0.5761104601242568,0.32951680454506616,0.15208268943840333
grape,0.636,0.3500273113126189,0.2027048665813787
orange,0.5037994232726865,0.24453031076215886,0.19303485312972646
apple,0.5038007695301672,0.29830942792416837,0.13685290069765504
banana,0.636,0.182,0.17777462760631058
grape,0.5859296477905386,0.23848796623727403,0.20255271068812797
orange,0.48450310035333394,0.28634077461362406,0.11056259931738786
apple,0.5674899235740491,0.22463744271817931,0.19464768731043752
banana,0.4849997491893781,0.4032095008437614,0.14882029716005782
grape,0.48481016020723894,0.21333123456644076,0.19568274940654004
orange,0.5428409062684149,0.274717241824787,0.14499615205138436
apple,0.37,0.31010591579173763,0.10541448017474826
banana,0.38155673773393134,0.39135894392209913,0.11215338736043981
grape,0.47689242260224024,0.21297654662687476,0.1758272279731325
orange,0.43994784813257726,0.3741161526336075,0.1838694550654163
apple,0.5487682812728125,0.3026344497832144,0.13963596824603247
banana,0.4485420258072607,0.24114646363502704,0.19826651343354018
grape,0.4071910964905061,0.3306504154043228,0.11086223763377952
orange,0.636,0.31434170112555515,0.17148896765140195
apple,0.5044863433601041,0.2647865536161547,0.12798138440902662
banana,0.5285373127844097,0.3063277292693812,0.14923022790351795
grape,0.4061706487304966,0.2781105569945709,0.1758011495100237
orange,0.47836061658893503,0.3090380754055774,0.1413042921192098
apple,0.532095652356209,0.3430521018203049,0.15938688931926662
banana,0.4286185266513712,0.4003330426010118,0.21223912675014872
grape,0.5538072375043451,0.22525543907273535,0.15207810895812035
orange,0.473747627426658,0.417,0.20575630025847538
apple,0.4990811125169513,0.182,0.1310711395230105
banana,0.47366005779718945,0.2925893241077938,0.19413255876078073
grape,0.636,0.3384756668020437,0.2287796075850002
orange,0.5218932275714895,0.319421495799572,0.091
apple,0.4362677038256162,0.26339262977112315,0.14371798029212188
banana,0.5904486827924615,0.28909642047784895,0.1959287408328605
grape,0.4228908207023762,0.27143394205115234,0.16628427533036627
orange,0.5401268147903899,0.2654593850694589,0.18810354318810973
apple,0.37,0.3546753300153035,0.15104856290479882
banana,0.4140887439903287,0.32413496012983295,0.1772904119239702
grape,0.5391426213412681,0.25903960509383944,0.16808426505510096
orange,0.5835542595596237,0.35777519227686155,0.21837571834307268
apple,0.5370521990575776,0.32105257029434975,0.1836679920454461
banana,0.5135168408441643,0.35239745136801554,0.18682890115885767
grape,0.49830949696167837,0.341036988199264,0.15834867528734622
orange,0.401761196789871,0.2506023093228315,0.15547096348524522
apple,0.4639727749116339,0.2672687755077879,0.1575627888628544
banana,0.48522762078129744,0.3483322035176422,0.18898918141037527
